,order,Data,Time,Home,Score,Away,Venue,Season,Home Score,Away Score,Date
1580,1580,Sun 27 Dec,14:00,Leicester Tigers,32-6,Sale Sharks,Welford Road,2009-2010,32,6,Sun 27 Dec 2009
1581,1581,Sun 27 Dec,14:15,Bath Rugby,24-8,Gloucester Rugby,Recreation Ground,2009-2010,24,8,Sun 27 Dec 2009
1582,1582,Sun 27 Dec,15:00,London Irish,23-19,Saracens,Madejski Stadium,2009-2010,23,19,Sun 27 Dec 2009
1583,1583,Sun 27 Dec,15:00,Newcastle Falcons,15-16,Leeds Carnegie,Kingston Park,2009-2010,15,16,Sun 27 Dec 2009
1584,1584,Sun 27 Dec,16:15,Harlequins,20-21,London Wasps,Twickenham Stadium,2009-2010,20,21,Sun 27 Dec 2009
1585,1585,Fri 1 Jan,17:30,Sale Sharks,21-16,Harlequins,Edgeley Park,2009-2010,21,16,Fri 1 Jan 2010
1586,1586,Sat 2 Jan,15:00,Gloucester Rugby,13-13,Worcester Warriors,Kingsholm,2009-2010,13,13,Sat 2 Jan 2010
1587,1587,Sat 2 Jan,15:00,Leeds Carnegie,15-20,Bath Rugby,Headingley Carnegie,2009-2010,15,20,Sat 2 Jan 2010
1588,1588,Sat 2 Jan,15:00,Northampton Saints,24-22,London Irish,Franklin's Gardens,2009-2010,24,22,Sat 2 Jan 2010
1589,1589,Sat 2 Jan,15:00,Saracens,15-22,Leicester Tigers,Vicarage Road,2009-2010,15,22,Sat 2 Jan 2010
1590,1590,Sun 3 Jan,16:30,London Wasps,6-12,Newcastle Falcons,Adams Park,2009-2010,6,12,Sun 3 Jan 2010
1591,1591,Sat 9 Jan,15:15,Leicester Tigers,34-8,London Wasps,Welford Road,2009-2010,34,8,Sat 9 Jan 2010
1592,1592,Sat 13 Feb,15:00,Gloucester Rugby,46-6,Harlequins,Kingsholm,2009-2010,46,6,Sat 13 Feb 2010
1593,1593,Sat 13 Feb,15:00,Northampton Saints,25-13,Newcastle Falcons,Franklin's Gardens,2009-2010,25,13,Sat 13 Feb 2010
1594,1594,Sat 13 Feb,15:00,Saracens,25-20,Worcester Warriors,Wembley Stadium,2009-2010,25,20,Sat 13 Feb 2010
1595,1595,Sun 14 Feb,15:00,Leeds Carnegie,9-14,Leicester Tigers,Headingley Carnegie,2009-2010,9,14,Sun 14 Feb 2010
1596,1596,Sun 14 Feb,16:30,London Irish,22-35,Bath Rugby,Madejski Stadium,2009-2010,22,35,Sun 14 Feb 2010
1597,1597,Sun 14 Feb,16:30,London Wasps,22-16,Sale Sharks,Adams Park,2009-2010,22,16,Sun 14 Feb 2010
1598,1598,Fri 19 Feb,19:45,Sale Sharks,10-19,Leeds Carnegie,Edgeley Park,2009-2010,10,19,Fri 19 Feb 2010
1599,1599,Sat 20 Feb,14:15,Bath Rugby,37-13,Worcester Warriors,Recreation Ground,2009-2010,37,13,Sat 20 Feb 2010
1600,1600,Sat 20 Feb,15:00,Harlequins,13-6,Northampton Saints,Twickenham Stoop,2009-2010,13,6,Sat 20 Feb 2010
1601,1601,Sat 20 Feb,15:00,Leicester Tigers,33-11,Gloucester Rugby,Welford Road,2009-2010,33,11,Sat 20 Feb 2010
1602,1602,Sat 20 Feb,17:30,Newcastle Falcons,12-12,London Irish,Kingston Park,2009-2010,12,12,Sat 20 Feb 2010
1603,1603,Sun 21 Feb,15:00,London Wasps,9-0,Saracens,Adams Park,2009-2010,9,0,Sun 21 Feb 2010
1604,1604,Fri 26 Feb,20:00,Worcester Warriors,13-0,Newcastle Falcons,Sixways,2009-2010,13,0,Fri 26 Feb 2010
1605,1605,Sat 27 Feb,15:00,Gloucester Rugby,47-3,Sale Sharks,Kingsholm,2009-2010,47,3,Sat 27 Feb 2010
1606,1606,Sat 27 Feb,18:00,Northampton Saints,19-3,Leicester Tigers,Franklin's Gardens,2009-2010,19,3,Sat 27 Feb 2010
1607,1607,Sun 28 Feb,14:00,Leeds Carnegie,26-10,London Wasps,Headingley Carnegie,2009-2010,26,10,Sun 28 Feb 2010
1608,1608,Sun 28 Feb,15:00,London Irish,29-14,Harlequins,Madejski Stadium,2009-2010,29,14,Sun 28 Feb 2010
1609,1609,Sun 28 Feb,15:00,Saracens,14-16,Bath Rugby,Vicarage Road,2009-2010,14,16,Sun 28 Feb 2010
1610,1610,Sat 6 Mar,15:00,Harlequins,14-11,Worcester Warriors,Twickenham Stoop,2009-2010,14,11,Sat 6 Mar 2010
1611,1611,Sat 6 Mar,17:35,Leicester Tigers,35-19,London Irish,Welford Road,2009-2010,35,19,Sat 6 Mar 2010
1612,1612,Sun 7 Mar,14:30,Sale Sharks,7-15,Northampton Saints,Edgeley Park,2009-2010,7,15,Sun 7 Mar 2010
1613,1613,Sun 7 Mar,15:00,Leeds Carnegie,19-12,Saracens,Headingley Carnegie,2009-2010,19,12,Sun 7 Mar 2010
1614,1614,Sun 7 Mar,15:00,London Wasps,24-19,Gloucester Rugby,Adams Park,2009-2010,24,19,Sun 7 Mar 2010
1615,1615,Sun 7 Mar,15:00,Newcastle Falcons,13-17,Bath Rugby,Kingston Park,2009-2010,13,17,Sun 7 Mar 2010
1616,1616,Fri 19 Mar,19:45,Sale Sharks,19-8,London Wasps,Edgeley Park,2009-2010,19,8,Fri 19 Mar 2010
1617,1617,Sat 27 Mar,14:15,Bath Rugby,24-13,Harlequins,Recreation Ground,2009-2010,24,13,Sat 27 Mar 2010
1618,1618,Sat 27 Mar,15:00,Gloucester Rugby,19-0,Leeds Carnegie,Kingsholm,2009-2010,19,0,Sat 27 Mar 2010
1619,1619,Sat 27 Mar,15:00,Worcester Warriors,18-39,Leicester Tigers,Sixways,2009-2010,18,39,Sat 27 Mar 2010
1620,1620,Sat 27 Mar,17:30,Northampton Saints,14-9,London Wasps,Franklin's Gardens,2009-2010,14,9,Sat 27 Mar 2010
1621,1621,Sun 28 Mar,15:00,London Irish,38-0,Sale Sharks,Madejski Stadium,2009-2010,38,0,Sun 28 Mar 2010
1622,1622,Sun 28 Mar,15:00,Saracens,58-15,Newcastle Falcons,Vicarage Road,2009-2010,58,15,Sun 28 Mar 2010
1623,1623,Wed 31 Mar,20:00,Newcastle Falcons,25-13,Gloucester Rugby,Kingston Park,2009-2010,25,13,Wed 31 Mar 2010
1624,1624,Fri 2 Apr,19:45,Sale Sharks,17-3,Worcester Warriors,Edgeley Park,2009-2010,17,3,Fri 2 Apr 2010
1625,1625,Sat 3 Apr,15:00,Harlequins,23-14,Newcastle Falcons,Twickenham Stoop,2009-2010,23,14,Sat 3 Apr 2010
1626,1626,Sat 3 Apr,15:00,Leeds Carnegie,7-14,Northampton Saints,Headingley Carnegie,2009-2010,7,14,Sat 3 Apr 2010
1627,1627,Sat 3 Apr,15:00,Leicester Tigers,43-20,Bath Rugby,Welford Road,2009-2010,43,20,Sat 3 Apr 2010
1628,1628,Sat 3 Apr,17:30,Gloucester Rugby,29-28,Saracens,Kingsholm,2009-2010,29,28,Sat 3 Apr 2010
1629,1629,Sun 4 Apr,13:30,London Wasps,33-22,London Irish,Adams Park,2009-2010,33,22,Sun 4 Apr 2010
1630,1630,Fri 9 Apr,19:45,Sale Sharks,19-30,Saracens,Edgeley Park,2009-2010,19,30,Fri 9 Apr 2010
1631,1631,Sat 10 Apr,14:00,Harlequins,46-11,Leeds Carnegie,Twickenham Stoop,2009-2010,46,11,Sat 10 Apr 2010
1632,1632,Sat 10 Apr,15:00,Worcester Warriors,13-23,London Irish,Sixways,2009-2010,13,23,Sat 10 Apr 2010
1633,1633,Sat 17 Apr,14:15,Bath Rugby,34-15,Sale Sharks,Recreation Ground,2009-2010,34,15,Sat 17 Apr 2010
1634,1634,Sat 17 Apr,15:00,Northampton Saints,38-23,Gloucester Rugby,Franklin's Gardens,2009-2010,38,23,Sat 17 Apr 2010
1635,1635,Sat 17 Apr,15:00,Worcester Warriors,20-24,London Wasps,Sixways,2009-2010,20,24,Sat 17 Apr 2010
1636,1636,Sat 17 Apr,17:30,Saracens,37-18,Harlequins,Wembley Stadium,2009-2010,37,18,Sat 17 Apr 2010
1637,1637,Sun 18 Apr,15:00,London Irish,13-23,Leeds Carnegie,Madejski Stadium,2009-2010,13,23,Sun 18 Apr 2010
1638,1638,Sun 18 Apr,15:00,Newcastle Falcons,7-31,Leicester Tigers,Kingston Park,2009-2010,7,31,Sun 18 Apr 2010
1639,1639,Tue 20 Apr,20:00,Bath Rugby,21-20,Northampton Saints,Recreation Ground,2009-2010,21,20,Tue 20 Apr 2010
1640,1640,Fri 23 Apr,19:45,Sale Sharks,30-32,Newcastle Falcons,Edgeley Park,2009-2010,30,32,Fri 23 Apr 2010
1641,1641,Sat 24 Apr,15:00,Gloucester Rugby,34-20,London Irish,Kingsholm,2009-2010,34,20,Sat 24 Apr 2010
1642,1642,Sat 24 Apr,15:00,Leicester Tigers,40-22,Harlequins,Welford Road,2009-2010,40,22,Sat 24 Apr 2010
1643,1643,Sat 24 Apr,15:00,Northampton Saints,27-28,Saracens,Franklin's Gardens,2009-2010,27,28,Sat 24 Apr 2010
1644,1644,Sat 24 Apr,17:30,London Wasps,19-35,Bath Rugby,Twickenham Stadium,2009-2010,19,35,Sat 24 Apr 2010
1645,1645,Sun 25 Apr,15:00,Leeds Carnegie,12-10,Worcester Warriors,Headingley Carnegie,2009-2010,12,10,Sun 25 Apr 2010
1646,1646,Sat 8 May,15:00,Bath Rugby,39-3,Leeds Carnegie,Recreation Ground,2009-2010,39,3,Sat 8 May 2010
1647,1647,Sat 8 May,15:00,Harlequins,35-20,Sale Sharks,Twickenham Stoop,2009-2010,35,20,Sat 8 May 2010
1648,1648,Sat 8 May,15:00,Leicester Tigers,23-32,Saracens,Welford Road,2009-2010,23,32,Sat 8 May 2010
1649,1649,Sat 8 May,15:00,London Irish,7-31,Northampton Saints,Madejski Stadium,2009-2010,7,31,Sat 8 May 2010
1650,1650,Sat 8 May,15:00,Newcastle Falcons,21-25,London Wasps,Kingston Park,2009-2010,21,25,Sat 8 May 2010
1651,1651,Sat 8 May,15:00,Worcester Warriors,22-23,Gloucester Rugby,Sixways,2009-2010,22,23,Sat 8 May 2010
1652,1652,Sun 16 May,13:30,Northampton Saints,19-21,Saracens,Franklin's Gardens,2009-2010,19,21,Sun 16 May 2010
1653,1653,Sun 16 May,16:00,Leicester Tigers,15-6,Bath Rugby,Welford Road,2009-2010,15,6,Sun 16 May 2010
1654,1654,Sat 29 May,17:30,Leicester Tigers,33-27,Saracens,Twickenham Stadium,2009-2010,33,27,Sat 29 May 2010
1655,1655,Fri 3 Sep,19:45,Sale Sharks,35-18,Newcastle Falcons,Edgeley Park,2010-2011,35,18,Fri 3 Sep 2010
1656,1656,Sat 4 Sep,14:00,London Irish,33-16,Saracens,Twickenham Stadium,2010-2011,33,16,Sat 4 Sep 2010
1657,1657,Sat 4 Sep,15:00,Exeter Chiefs,22-10,Gloucester Rugby,Sandy Park,2010-2011,22,10,Sat 4 Sep 2010
1658,1658,Sat 4 Sep,16:30,London Wasps,29-29,Harlequins,Twickenham Stadium,2010-2011,29,29,Sat 4 Sep 2010
1659,1659,Sun 5 Sep,15:00,Leeds Carnegie,16-32,Bath Rugby,Headingley Carnegie,2010-2011,16,32,Sun 5 Sep 2010
1660,1660,Sun 5 Sep,15:00,Northampton Saints,27-19,Leicester Tigers,Franklin's Gardens,2010-2011,27,19,Sun 5 Sep 2010
1661,1661,Fri 10 Sep,20:00,Newcastle Falcons,29-17,London Wasps,Kingston Park,2010-2011,29,17,Fri 10 Sep 2010
1662,1662,Sat 11 Sep,13:30,Harlequins,16-20,Northampton Saints,Twickenham Stoop,2010-2011,16,20,Sat 11 Sep 2010
1663,1663,Sat 11 Sep,14:15,Bath Rugby,20-13,London Irish,Recreation Ground,2010-2011,20,13,Sat 11 Sep 2010
1664,1664,Sat 11 Sep,15:00,Gloucester Rugby,22-21,Leeds Carnegie,Kingsholm,2010-2011,22,21,Sat 11 Sep 2010
1665,1665,Sat 11 Sep,17:30,Leicester Tigers,37-27,Exeter Chiefs,Welford Road,2010-2011,37,27,Sat 11 Sep 2010
1666,1666,Sun 12 Sep,15:00,Saracens,28-13,Sale Sharks,Vicarage Road,2010-2011,28,13,Sun 12 Sep 2010
1667,1667,Fri 17 Sep,19:45,Northampton Saints,31-10,Bath Rugby,Franklin's Gardens,2010-2011,31,10,Fri 17 Sep 2010
1668,1668,Fri 17 Sep,19:45,Sale Sharks,21-17,Harlequins,Edgeley Park,2010-2011,21,17,Fri 17 Sep 2010
1669,1669,Sat 18 Sep,15:00,Exeter Chiefs,22-17,Newcastle Falcons,Sandy Park,2010-2011,22,17,Sat 18 Sep 2010
1670,1670,Sat 18 Sep,15:05,London Wasps,37-30,Leicester Tigers,Adams Park,2010-2011,37,30,Sat 18 Sep 2010
1671,1671,Sun 19 Sep,15:00,Leeds Carnegie,14-26,Saracens,Headingley Carnegie,2010-2011,14,26,Sun 19 Sep 2010
1672,1672,Sun 19 Sep,15:00,London Irish,23-16,Gloucester Rugby,Madejski Stadium,2010-2011,23,16,Sun 19 Sep 2010
1673,1673,Sat 25 Sep,14:15,Bath Rugby,31-16,Sale Sharks,Recreation Ground,2010-2011,31,16,Sat 25 Sep 2010
1674,1674,Sat 25 Sep,14:30,Gloucester Rugby,22-20,London Wasps,Kingsholm,2010-2011,22,20,Sat 25 Sep 2010
1675,1675,Sat 25 Sep,15:00,Harlequins,40-13,Exeter Chiefs,Twickenham Stoop,2010-2011,40,13,Sat 25 Sep 2010
1676,1676,Sat 25 Sep,15:00,Leicester Tigers,48-6,Leeds Carnegie,Welford Road,2010-2011,48,6,Sat 25 Sep 2010
1677,1677,Sat 25 Sep,17:15,Newcastle Falcons,12-46,London Irish,Kingston Park,2010-2011,12,46,Sat 25 Sep 2010
1678,1678,Sun 26 Sep,15:00,Saracens,24-17,Northampton Saints,Vicarage Road,2010-2011,24,17,Sun 26 Sep 2010
1679,1679,Fri 1 Oct,19:45,Sale Sharks,24-25,London Wasps,Edgeley Park,2010-2011,24,25,Fri 1 Oct 2010
1680,1680,Fri 1 Oct,20:05,Bath Rugby,3-18,Gloucester Rugby,Recreation Ground,2010-2011,3,18,Fri 1 Oct 2010
1681,1681,Sat 2 Oct,15:00,Harlequins,23-12,Newcastle Falcons,Twickenham Stoop,2010-2011,23,12,Sat 2 Oct 2010
1682,1682,Sat 2 Oct,15:00,London Irish,40-24,Leeds Carnegie,Madejski Stadium,2010-2011,40,24,Sat 2 Oct 2010
1683,1683,Sat 2 Oct,15:00,Northampton Saints,27-21,Exeter Chiefs,Franklin's Gardens,2010-2011,27,21,Sat 2 Oct 2010
1684,1684,Sun 3 Oct,16:30,Saracens,26-20,Leicester Tigers,Vicarage Road,2010-2011,26,20,Sun 3 Oct 2010
1685,1685,Fri 22 Oct,19:45,Leeds Carnegie,3-6,Sale Sharks,Headingley Carnegie,2010-2011,3,6,Fri 22 Oct 2010
1686,1686,Fri 22 Oct,20:00,Newcastle Falcons,13-15,Saracens,Kingston Park,2010-2011,13,15,Fri 22 Oct 2010
1687,1687,Sat 23 Oct,14:30,Leicester Tigers,21-15,Bath Rugby,Welford Road,2010-2011,21,15,Sat 23 Oct 2010
1688,1688,Sat 23 Oct,15:00,Gloucester Rugby,33-26,Harlequins,Kingsholm,2010-2011,33,26,Sat 23 Oct 2010
1689,1689,Sat 23 Oct,17:15,Exeter Chiefs,9-12,London Irish,Sandy Park,2010-2011,9,12,Sat 23 Oct 2010
1690,1690,Sun 24 Oct,15:00,London Wasps,10-37,Northampton Saints,Adams Park,2010-2011,10,37,Sun 24 Oct 2010
1691,1691,Sat 30 Oct,14:30,Northampton Saints,34-13,Newcastle Falcons,Franklin's Gardens,2010-2011,34,13,Sat 30 Oct 2010
1692,1692,Sat 30 Oct,15:00,Saracens,9-23,Exeter Chiefs,Vicarage Road,2010-2011,9,23,Sat 30 Oct 2010
1693,1693,Sat 30 Oct,17:30,Gloucester Rugby,19-12,Leicester Tigers,Kingsholm,2010-2011,19,12,Sat 30 Oct 2010
1694,1694,Sun 31 Oct,14:30,Harlequins,6-6,Bath Rugby,Twickenham Stoop,2010-2011,6,6,Sun 31 Oct 2010
1695,1695,Sun 31 Oct,15:00,Leeds Carnegie,8-17,London Wasps,Headingley Carnegie,2010-2011,8,17,Sun 31 Oct 2010
1696,1696,Sun 31 Oct,15:00,London Irish,39-26,Sale Sharks,Madejski Stadium,2010-2011,39,26,Sun 31 Oct 2010
1697,1697,Fri 19 Nov,19:45,Leicester Tigers,18-13,Harlequins,Welford Road,2010-2011,18,13,Fri 19 Nov 2010
1698,1698,Fri 19 Nov,19:45,Sale Sharks,10-19,Northampton Saints,Edgeley Park,2010-2011,10,19,Fri 19 Nov 2010
1699,1699,Sat 20 Nov,15:00,Exeter Chiefs,15-9,Leeds Carnegie,Sandy Park,2010-2011,15,9,Sat 20 Nov 2010
1700,1700,Sun 21 Nov,14:00,London Wasps,33-25,London Irish,Adams Park,2010-2011,33,25,Sun 21 Nov 2010
1701,1701,Sun 21 Nov,15:00,Newcastle Falcons,12-6,Gloucester Rugby,Kingston Park,2010-2011,12,6,Sun 21 Nov 2010
1702,1702,Sun 21 Nov,16:15,Bath Rugby,13-17,Saracens,Recreation Ground,2010-2011,13,17,Sun 21 Nov 2010
1703,1703,Fri 26 Nov,19:45,Northampton Saints,35-23,London Irish,Franklin's Gardens,2010-2011,35,23,Fri 26 Nov 2010
1704,1704,Sat 27 Nov,15:00,Exeter Chiefs,24-19,Sale Sharks,Sandy Park,2010-2011,24,19,Sat 27 Nov 2010
1705,1705,Sat 27 Nov,15:00,Leicester Tigers,44-19,Newcastle Falcons,Welford Road,2010-2011,44,19,Sat 27 Nov 2010
1706,1706,Sat 27 Nov,16:30,Gloucester Rugby,19-13,Saracens,Kingsholm,2010-2011,19,13,Sat 27 Nov 2010
1707,1707,Sat 27 Nov,17:30,Bath Rugby,6-11,London Wasps,Recreation Ground,2010-2011,6,11,Sat 27 Nov 2010
1708,1708,Sun 28 Nov,15:00,Harlequins,51-18,Leeds Carnegie,Twickenham Stoop,2010-2011,51,18,Sun 28 Nov 2010
1709,1709,Sat 4 Dec,14:30,London Irish,14-23,Leicester Tigers,Madejski Stadium,2010-2011,14,23,Sat 4 Dec 2010
1710,1710,Sun 5 Dec,14:15,Saracens,26-14,Harlequins,Vicarage Road,2010-2011,26,14,Sun 5 Dec 2010
1711,1711,Sun 5 Dec,15:00,London Wasps,24-12,Exeter Chiefs,Adams Park,2010-2011,24,12,Sun 5 Dec 2010
1712,1712,Sun 26 Dec,14:45,Saracens,13-6,London Wasps,Wembley Stadium,2010-2011,13,6,Sun 26 Dec 2010
1713,1713,Mon 27 Dec,14:00,Leicester Tigers,54-21,Sale Sharks,Welford Road,2010-2011,54,21,Mon 27 Dec 2010
1714,1714,Mon 27 Dec,16:30,Harlequins,28-18,London Irish,Twickenham Stadium,2010-2011,28,18,Mon 27 Dec 2010
1715,1715,Sat 1 Jan,13:00,Leeds Carnegie,15-13,Gloucester Rugby,Headingley Carnegie,2010-2011,15,13,Sat 1 Jan 2011
1716,1716,Sat 1 Jan,15:00,Northampton Saints,13-16,Harlequins,Franklin's Gardens,2010-2011,13,16,Sat 1 Jan 2011
1717,1717,Sat 1 Jan,15:15,London Irish,24-25,Bath Rugby,Madejski Stadium,2010-2011,24,25,Sat 1 Jan 2011
1718,1718,Sun 2 Jan,14:00,Sale Sharks,28-22,Saracens,Edgeley Park,2010-2011,28,22,Sun 2 Jan 2011
1719,1719,Sun 2 Jan,15:00,London Wasps,33-16,Newcastle Falcons,Adams Park,2010-2011,33,16,Sun 2 Jan 2011
1720,1720,Sun 2 Jan,16:15,Exeter Chiefs,15-22,Leicester Tigers,Sandy Park,2010-2011,15,22,Sun 2 Jan 2011
1721,1721,Fri 7 Jan,19:45,Newcastle Falcons,19-19,Sale Sharks,Kingston Park,2010-2011,19,19,Fri 7 Jan 2011
1722,1722,Sat 8 Jan,14:15,Bath Rugby,16-13,Leeds Carnegie,Recreation Ground,2010-2011,16,13,Sat 8 Jan 2011
1723,1723,Sat 8 Jan,14:45,Harlequins,17-10,London Wasps,Twickenham Stoop,2010-2011,17,10,Sat 8 Jan 2011
1724,1724,Sat 8 Jan,15:00,Gloucester Rugby,37-23,Exeter Chiefs,Kingsholm,2010-2011,37,23,Sat 8 Jan 2011
1725,1725,Sat 8 Jan,17:00,Leicester Tigers,27-16,Northampton Saints,Welford Road,2010-2011,27,16,Sat 8 Jan 2011
1726,1726,Sun 9 Jan,15:00,Saracens,12-6,London Irish,Vicarage Road,2010-2011,12,6,Sun 9 Jan 2011
1727,1727,Fri 11 Feb,19:45,Sale Sharks,7-19,Bath Rugby,Edgeley Park,2010-2011,7,19,Fri 11 Feb 2011
1728,1728,Sat 12 Feb,12:30,London Irish,23-14,Newcastle Falcons,Madejski Stadium,2010-2011,23,14,Sat 12 Feb 2011
1729,1729,Sat 12 Feb,12:30,Northampton Saints,15-29,Saracens,Franklin's Gardens,2010-2011,15,29,Sat 12 Feb 2011
1730,1730,Sat 12 Feb,15:00,Exeter Chiefs,20-6,Harlequins,Sandy Park,2010-2011,20,6,Sat 12 Feb 2011
1731,1731,Sun 13 Feb,15:00,Leeds Carnegie,9-15,Leicester Tigers,Headingley Carnegie,2010-2011,9,15,Sun 13 Feb 2011
1732,1732,Sun 13 Feb,17:00,London Wasps,9-10,Gloucester Rugby,Adams Park,2010-2011,9,10,Sun 13 Feb 2011
1733,1733,Fri 18 Feb,19:45,Gloucester Rugby,23-9,London Irish,Kingsholm,2010-2011,23,9,Fri 18 Feb 2011
1734,1734,Fri 18 Feb,20:00,Newcastle Falcons,13-23,Exeter Chiefs,Kingston Park,2010-2011,13,23,Fri 18 Feb 2011
1735,1735,Sat 19 Feb,15:00,Harlequins,21-9,Sale Sharks,Twickenham Stoop,2010-2011,21,9,Sat 19 Feb 2011
1736,1736,Sat 19 Feb,15:15,Bath Rugby,38-8,Northampton Saints,Recreation Ground,2010-2011,38,8,Sat 19 Feb 2011
1737,1737,Sat 19 Feb,17:30,Leicester Tigers,21-12,London Wasps,Welford Road,2010-2011,21,12,Sat 19 Feb 2011
1738,1738,Sun 20 Feb,15:00,Saracens,39-0,Leeds Carnegie,Vicarage Road,2010-2011,39,0,Sun 20 Feb 2011
1739,1739,Fri 25 Feb,19:45,Sale Sharks,16-18,Leicester Tigers,Edgeley Park,2010-2011,16,18,Fri 25 Feb 2011
1740,1740,Sat 26 Feb,15:00,London Irish,15-9,Harlequins,Madejski Stadium,2010-2011,15,9,Sat 26 Feb 2011
1741,1741,Sat 26 Feb,15:00,Northampton Saints,16-18,Gloucester Rugby,Franklin's Gardens,2010-2011,16,18,Sat 26 Feb 2011
1742,1742,Sat 26 Feb,20:00,Exeter Chiefs,9-12,Bath Rugby,Sandy Park,2010-2011,9,12,Sat 26 Feb 2011
1743,1743,Sun 27 Feb,13:00,London Wasps,15-26,Saracens,Adams Park,2010-2011,15,26,Sun 27 Feb 2011
1744,1744,Sun 27 Feb,17:30,Leeds Carnegie,5-22,Newcastle Falcons,Headingley Carnegie,2010-2011,5,22,Sun 27 Feb 2011
1745,1745,Fri 4 Mar,20:00,Newcastle Falcons,33-18,Harlequins,Kingston Park,2010-2011,33,18,Fri 4 Mar 2011
1746,1746,Sat 5 Mar,13:00,Gloucester Rugby,34-22,Bath Rugby,Kingsholm,2010-2011,34,22,Sat 5 Mar 2011
1747,1747,Sat 5 Mar,15:15,Leicester Tigers,14-15,Saracens,Welford Road,2010-2011,14,15,Sat 5 Mar 2011
1748,1748,Sun 6 Mar,15:00,Exeter Chiefs,30-9,Northampton Saints,Sandy Park,2010-2011,30,9,Sun 6 Mar 2011
1749,1749,Sun 6 Mar,15:00,Leeds Carnegie,27-19,London Irish,Headingley Carnegie,2010-2011,27,19,Sun 6 Mar 2011
1750,1750,Sun 6 Mar,15:00,London Wasps,33-26,Sale Sharks,Adams Park,2010-2011,33,26,Sun 6 Mar 2011
1751,1751,Sat 12 Mar,15:00,Leeds Carnegie,13-23,Northampton Saints,Headingley Carnegie,2010-2011,13,23,Sat 12 Mar 2011
1752,1752,Fri 25 Mar,19:45,Sale Sharks,15-12,Leeds Carnegie,Edgeley Park,2010-2011,15,12,Fri 25 Mar 2011
1753,1753,Sat 26 Mar,14:15,Harlequins,53-15,Gloucester Rugby,Twickenham Stoop,2010-2011,53,15,Sat 26 Mar 2011
1754,1754,Sat 26 Mar,15:00,London Irish,39-17,Exeter Chiefs,Madejski Stadium,2010-2011,39,17,Sat 26 Mar 2011
1755,1755,Sat 26 Mar,16:30,Bath Rugby,6-37,Leicester Tigers,Recreation Ground,2010-2011,6,37,Sat 26 Mar 2011
1756,1756,Sun 27 Mar,13:45,Northampton Saints,39-3,London Wasps,Franklin's Gardens,2010-2011,39,3,Sun 27 Mar 2011
1757,1757,Sun 27 Mar,15:00,Saracens,24-9,Newcastle Falcons,Vicarage Road,2010-2011,24,9,Sun 27 Mar 2011
1758,1758,Sat 2 Apr,14:30,Northampton Saints,53-24,Sale Sharks,Franklin's Gardens,2010-2011,53,24,Sat 2 Apr 2011
1759,1759,Sat 2 Apr,15:00,Gloucester Rugby,34-9,Newcastle Falcons,Kingsholm,2010-2011,34,9,Sat 2 Apr 2011
1760,1760,Sat 2 Apr,17:30,Harlequins,13-17,Leicester Tigers,Twickenham Stoop,2010-2011,13,17,Sat 2 Apr 2011
1761,1761,Sun 3 Apr,14:15,Saracens,20-9,Bath Rugby,Vicarage Road,2010-2011,20,9,Sun 3 Apr 2011
1762,1762,Sun 3 Apr,15:00,Leeds Carnegie,27-22,Exeter Chiefs,Headingley Carnegie,2010-2011,27,22,Sun 3 Apr 2011
1763,1763,Sun 3 Apr,15:00,London Irish,25-12,London Wasps,Madejski Stadium,2010-2011,25,12,Sun 3 Apr 2011
1764,1764,Fri 8 Apr,19:45,Sale Sharks,36-31,Gloucester Rugby,Edgeley Park,2010-2011,36,31,Fri 8 Apr 2011
1765,1765,Sat 9 Apr,14:30,Bath Rugby,26-18,Exeter Chiefs,Recreation Ground,2010-2011,26,18,Sat 9 Apr 2011
1766,1766,Sat 9 Apr,15:00,Newcastle Falcons,29-30,Leeds Carnegie,Kingston Park,2010-2011,29,30,Sat 9 Apr 2011
1767,1767,Fri 15 Apr,19:45,Newcastle Falcons,15-22,Northampton Saints,Kingston Park,2010-2011,15,22,Fri 15 Apr 2011
1768,1768,Sat 16 Apr,14:15,Bath Rugby,19-15,Harlequins,Recreation Ground,2010-2011,19,15,Sat 16 Apr 2011
1769,1769,Sat 16 Apr,15:00,Exeter Chiefs,12-33,Saracens,Sandy Park,2010-2011,12,33,Sat 16 Apr 2011
1770,1770,Sat 16 Apr,15:00,Leicester Tigers,41-41,Gloucester Rugby,Welford Road,2010-2011,41,41,Sat 16 Apr 2011
1771,1771,Sat 16 Apr,17:30,Sale Sharks,20-34,London Irish,Reebok Stadium,2010-2011,20,34,Sat 16 Apr 2011
1772,1772,Sun 17 Apr,15:00,London Wasps,51-18,Leeds Carnegie,Adams Park,2010-2011,51,18,Sun 17 Apr 2011
1773,1773,Tue 19 Apr,19:45,Gloucester Rugby,27-15,Northampton Saints,Kingsholm,2010-2011,27,15,Tue 19 Apr 2011
1774,1774,Fri 22 Apr,15:00,Sale Sharks,24-30,Exeter Chiefs,Edgeley Park,2010-2011,24,30,Fri 22 Apr 2011
1775,1775,Fri 22 Apr,18:00,Newcastle Falcons,13-24,Leicester Tigers,Kingston Park,2010-2011,13,24,Fri 22 Apr 2011
1776,1776,Sat 23 Apr,15:00,London Irish,20-26,Northampton Saints,Madejski Stadium,2010-2011,20,26,Sat 23 Apr 2011
